Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Cardo AI,https://www.crunchbase.com/organization/cardo-ai,,20122,"Cardo AI is the software, intelligence and infrastructure company innovating the structured finance market that helps investors, issuers, servicers and lenders transact faster, better, and with lower costs. Our technology has facilitated the efficient management of over €18bn assets,  standardizing data coming from 100+ systems all over the world. Access your demo today: https://cardoai.com/request-a-demo/ Want to come to innovate with us? Check our job openings:  https://cardoai.com/talent/",,"Artificial Intelligence (AI), Financial Services, FinTech, Software","Milan, Lombardia, Italy","Cardo AI is the software, intelligence and infrastructure for the structured finance market",924,2018-01-01,year,,"Altin Kadareja, Daniele Forza",Private,959,,2024-11-20,3,Early Stage Venture,15000000,USD,15000000,Series A,18947015,USD,18947015,15000000,USD,15000000,Series A,18947015,USD,18947015,"JAM FINTOP, FINTOP Capital, Digital Magics, Fasanara Capital, Blackstone Innovations Investments",7,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://cardoai.com/,https://it.linkedin.com/company/cardoai,hello@cardoai.com,101-250
Aktiia,https://www.crunchbase.com/organization/aktiia,Growing,,"Aktiia was founded on a simple yet powerful insight: That continuous, convenient and accurate blood pressure monitoring (BPM) is key to tackling hypertension – the largest chronic condition in the world. Built on 20+ years of research, Aktiia's technology provides unparalleled innovation and ease in blood pressure data collection and machine learning modeling, offering personalized, continuous, and medical-grade blood pressure and heart rate data. Aktiia empowers people, researchers, and clinicians with unique blood pressure data paving the way for novel understanding and personalized patient care of hypertension. Aktiia’s mission has never been more critical, with over 1.4 billion people worldwide affected by high blood pressure, resulting in more than 18 million related deaths annually. The company is dedicated to changing the paradigm of blood pressure management, making it more accessible, accurate, and actionable for people worldwide.",,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Personal Health, Wearables","Neuchâtel, Neuchatel, Switzerland",Blood Pressure Intelligence for Global Health,960,2018-05-07,day,,"Josep Sola, Mattia Bertschi",Private,987,,2024-02-27,5,Early Stage Venture,27000000,CHF,30712216,Series A,59675083,USD,59675083,27000000,CHF,30712216,Series A,59675083,USD,59675083,"Khosla Ventures, Molten Ventures, Verve Ventures, HumanCo, Crowdcube",11,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://aktiia.com/landing,https://www.linkedin.com/company/aktiia/,info@aktiia.com,51-100
Kanpla,https://www.crunchbase.com/organization/kanpla,,8000,"Kanpla offers software solutions for contract catering, featuring a point-of-sale system and customer engagement tools. The platform supports event management, menu administration, and real-time order tracking across multiple locations. It integrates with existing systems to enhance operational efficiency for catering teams and their clients.",,"Enterprise Software, Food Delivery, SaaS, Service Industry, Software","Aarhus, Midtjylland, Denmark","Kanpla provides software solutions for contract catering, including POS and apps.","1,010",2020-01-01,year,,"Jonas Gøttler, Peter Baech, Robert Wolf",Private,"1,039",,2024-11-01,3,Early Stage Venture,60000000,DKK,8715483,Series A,11616871,USD,11616871,60000000,DKK,8715483,Series A,11616871,USD,11616871,henQ,1,"Food and Beverage, Other, Software, Transportation",,"European Union (EU), Nordic Countries, Scandinavia",https://kanpla.io,https://www.linkedin.com/company/kanpla,kanpla@kanpla.io,11-50
Mindpeak,https://www.crunchbase.com/organization/mindpeak,Growing,20359,"Mindpeak provides artificial intelligence solutions that automate tissue diagnostics for cancer treatment. The company focuses on enhancing the efficiency of cancer experts by streamlining tasks such as cell and biomarker quantification. These tools integrate seamlessly into existing workflows, allowing specialists to concentrate on critical decision-making processes.",,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Software","Hamburg, Hamburg, Germany","Mindpeak develops and distributes AI-based diagnostic software for the detection, quantification, and classification of cancer.","1,046",2018-01-01,year,,"Felix Faber, Tobias Lang",Private,"1,087",,2024-09-30,3,Early Stage Venture,15300000,USD,15300000,Series A,19777022,USD,19777022,15300000,USD,15300000,Series A,18300000,USD,18300000,"European Innovation Council, EIC Accelerator, Nina Capital, APEX Ventures, AI.FUND",9,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.mindpeak.ai,https://www.linkedin.com/company/mindpeak-gmbh,info@mindpeak.ai,11-50
Monkey Tilt,https://www.crunchbase.com/organization/monkey-tilt,Growing,,Monkey Tilt is a crypto fantasy sports platform. It is a cryptocurrency-enabled gambling platform.,,"Cryptocurrency, Fantasy Sports, Gambling","Willemstad, Noord-Brabant, The Netherlands",Monkey Tilt is a crypto fantasy sports platform.,"1,102",2023-01-01,year,,,Private,"1,144",,2024-11-20,2,Early Stage Venture,30000000,USD,30000000,Series A,51000000,USD,51000000,30000000,USD,30000000,Series A,51000000,USD,51000000,"Hack VC, Polychain, Paper Ventures, Mirana, Folius Ventures",10,"Blockchain and Cryptocurrency, Financial Services, Gaming, Payments, Software, Sports",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.monkeytilt.com/en-CA,,support@monkeytilt.com,51-100
BlueFlame AI,https://www.crunchbase.com/organization/blueflame-ai,Growing,,"BlueFlame AI is an artificial intelligence for alternative investment managers and  brings financial services focused AI functionality to the alternatives space, bridging knowledge management with automation.",,"Artificial Intelligence (AI), Financial Services, Software","London, England, United Kingdom",BlueFlame AI is an artificial intelligence for alternative investment managers.,"1,317",2023-01-01,year,,"Henry Lindemann, Raj Bakhru",Private,"1,361",,2024-06-25,1,Early Stage Venture,5000000,USD,5000000,Series A,5000000,USD,5000000,5000000,USD,5000000,Series A,5000000,USD,5000000,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.blueflame.ai,https://www.linkedin.com/company/blueflameai/,info@blueflame.ai,11-50
Notpla,https://www.crunchbase.com/organization/notpla,Growing,E9 5EN,"Notpla is a sustainable packaging start-up that develops a material derived from seaweed and plants. The company's products include a coating for takeaway boxes, film, paper made from seaweed pulp, and a rigid plastic alternative, also made from seaweed.  Notpla was founded in 2014 and is based in London, England.",,"CleanTech, GreenTech, Manufacturing, Packaging Services, Sustainability","London, England, United Kingdom",Notpla is a sustainable packaging start-up that develops a material derived from seaweed and plants.,"1,317",2014-07-25,day,,"Pierre Paslier, Rodrigo García González",Private,"1,364",,2024-09-24,9,Early Stage Venture,20000000,GBP,26756461,Series A,36350000,GBP,48121965,20000000,GBP,26756461,Series A,34850000,GBP,46231184,"EIT Food, Trousdale Ventures, Astanor Ventures, Kibo Invest, Torch Capital",18,"Administrative Services, Manufacturing, Sustainability",,"Europe, Middle East, and Africa (EMEA)",https://www.notpla.com,https://www.linkedin.com/company/notpla,info@notpla.com,51-100
LocalStack,https://www.crunchbase.com/organization/localstack,,,,,"Cloud Computing, Information Technology, Software","Zürich, Zurich, Switzerland",LocalStack is the leading cloud development platform for building cloud and serverless apps offline.,"1,328",2021-01-01,year,,"Gerta Sheganaku, Thomas Rausch, Waldemar Hummer",Private,"1,372",,2024-11-12,2,Early Stage Venture,25000000,USD,25000000,Series A,28200000,USD,28200000,25000000,USD,25000000,Series A,28200000,USD,28200000,"CRV, Notable Capital, Heavybit",3,"Information Technology, Internet Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://localstack.cloud,https://www.linkedin.com/company/localstack-cloud,info@localstack.cloud,11-50
Genie AI,https://www.crunchbase.com/organization/ginie-ai,,,"Genie AI has developed an artificial intelligence platform called SuperDrafter® that empowers lawyers to draft contracts using the entire knowledge of the firm. Its AI semantically understands legal contracts, enabling us to become the bridge towards smart contracts on the blockchain. The company also provides educational talks and practical training on smart contracts through the use of artificial intelligence.",,"Artificial Intelligence (AI), Information Technology, Knowledge Management, Legal, Machine Learning, Software","London, England, United Kingdom",Automatic legal contract drafting platform for anyone.,"1,421",2017-01-01,year,,"Nitish Mutha, Rafie Faruq",Private,"1,472",,2024-10-23,4,Early Stage Venture,17800000,USD,17800000,Series A,20542465,USD,20542465,17800000,USD,17800000,Series A,19292491,USD,19292491,"Khosla Ventures, Innovate UK, Google Ventures, UK Research and Innovation, Connect Ventures",7,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Professional Services, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://genieai.co/,https://www.linkedin.com/company/genie-ai/?originalSubdomain=uk,info@genieai.co,1-10
Gcore,https://www.crunchbase.com/organization/g-core-labs,,,"Gcore is the first class web service with cutting-edge features and advanced security. It provides efficient services for all modern web needs: CDN, hosting, storage, streaming platform, DNS, security, and cloud. The company oversees a global infrastructure that delivers edge and cloud-based services to enterprise-level businesses.",,"Artificial Intelligence (AI), Cloud Data Services, Content Delivery Network, IaaS, Software, Web Hosting","Luxembourg, Luxembourg, Luxembourg","Gcore is a cloud and edge computing company that offers content delivery, hosting, and security solutions for various businesses.","1,478",2014-02-01,month,,Andre Reitenbach,Private,"1,527",,2024-07-22,1,Early Stage Venture,60000000,USD,60000000,Series A,60000000,USD,60000000,60000000,USD,60000000,Series A,60000000,USD,60000000,"Wargaming, Constructor Capital, HRZ",3,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://gcore.com,https://www.linkedin.com/company/g-core,pr@gcore.com,501-1000
Validation Cloud,https://www.crunchbase.com/organization/validation-cloud,Growing,,"Validation Cloud is a Web3 data streaming and infrastructure company that connects organizations into Web3 through a fast, scalable, and intelligent platform. Headquartered in Zug, Switzerland, Validation Cloud offers highly performant and customizable products in staking, node, and data-as-a-service. Its team brings extensive experience across Web2 and Web3 from the likes of Coinbase, Kraken, Workday, Accenture, Crypto.com, Voyager, and more. Learn more at Validationcloud.io",,"Artificial Intelligence (AI), Blockchain, Cloud Infrastructure, Cryptocurrency, Data Integration, SaaS, Web3","Zug, Zug, Switzerland","Validation Cloud is a Web3 infrastructure company that connects organizations into Web3 through a fast, scalable, and intelligent platform.","1,479",2017-01-01,year,,"Alex Altman, Alex Nwaka, Andrew McFarlane, Michael Horowitz",Private,"1,532",,2024-10-23,2,Early Stage Venture,10000000,USD,10000000,Series A,15800000,USD,15800000,10000000,USD,10000000,Series A,15800000,USD,15800000,"Blockchain Founders Fund, Blockwall, Side Door Ventures, Bloccelerate VC, True Global Ventures (TGV)",9,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Hardware, Information Technology, Internet Services, Other, Payments, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.validationcloud.io/,https://www.linkedin.com/company/validationcloud/,info@validationcloud.io,11-50
Glint Solar,https://www.crunchbase.com/organization/glint-solar,Growing,0160,"Glint Solar offers a platform that enables users to efficiently identify and evaluate potential solar project sites using satellite data. The software simplifies the site selection process, allowing for quick analysis and preliminary design, fostering collaboration among teams. It integrates various data layers to enhance project feasibility assessments and streamline workflows across different departments.",,"Artificial Intelligence (AI), Renewable Energy, Software","Oslo, Oslo, Norway",Glint Solar provides software for identifying and analyzing solar project sites.,"1,530",2020-01-01,year,,"Even Kvelland, Harald Olderheim, John Modin",Private,"1,580",,2024-11-07,3,Early Stage Venture,8000000,USD,8000000,Series A,11110000,USD,11110000,8000000,USD,8000000,Series A,11110000,USD,11110000,"Antler, Smedvig Ventures, Statkraft Ventures, Wiski Capital, Link Venture Capital",8,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://www.glintsolar.ai,https://www.linkedin.com/company/glint-solar,post@glintsolar.co,11-50
